#{"t_start": 1641507745.9739182, "env_id": null}
r,l,t
3.651028,235,10114.7154
14.693914,1001,10137.835994
3.010698,170,10142.508662
12.267489,1001,10164.791532
18.995735,1001,10189.115753
4.64749,204,10195.30137
9.2219,1001,10217.260898
24.418136,1001,10239.704682
16.408516,941,10261.112279
20.191574,1001,10281.829862
10.05831,1001,10303.848745
10.290784,463,10312.862598
18.718271,699,10329.158388
8.965306,1001,10353.411415
3.776682,237,10358.683754
14.486499,1001,10380.107677
13.719146,1001,10401.663262
11.150054,927,10422.01547
7.625799,265,10429.116289
11.498885,1001,10450.94382
8.654952,677,10467.264103
22.587733,1001,10487.349478
19.702677,832,10503.445744
13.197959,1001,10526.193492
16.095986,1001,10550.950709
9.691536,1001,10572.122089
9.696684,491,10584.017109
6.336155,324,10592.583769
18.827093,1001,10614.262702
5.39544,245,10620.853781
18.277592,1001,10642.951547
13.749755,1001,10663.876384
21.13675,1001,10685.226002
28.508994,1001,10708.796341
12.953379,867,10728.539787
6.309162,576,10741.055341
5.375371,183,10745.522635
5.519729,527,10758.872577
5.491393,343,10766.597011
24.788077,1001,10788.485313
1.811037,126,10791.944372
14.151289,1001,10811.731574
8.999785,1001,10831.426986
9.798892,1001,10853.39923
9.760973,1001,10872.085771
22.612462,1001,10891.327441
14.009258,1001,10913.578444
7.673568,627,10925.722347
15.72133,1001,10945.966512
13.704047,923,10964.176052
12.694059,704,10978.831792
22.180429,1001,10999.728548
7.74995,1001,11020.681778
-2.802269,1,11021.226087
10.990675,680,11035.443917
20.851433,1001,11058.90277
15.451499,1001,11082.149567
14.128876,1001,11111.073178
10.066472,1001,11140.86397
8.078321,1001,11174.440309
10.214271,980,11202.889786
9.493996,1001,11231.665491
19.692157,1001,11258.123983
1.849307,98,11261.048334
16.639905,1001,11285.388844
4.386658,319,11294.209353
16.605073,1001,11319.862657
14.772053,830,11342.548148
10.370486,1001,11368.140053
14.442425,1001,11394.694446
9.007676,1001,11418.461435
25.361487,1001,11464.359646
9.752312,390,11472.985951
16.899845,1001,11494.540931
24.116526,1001,11518.185743
13.92183,1001,11541.02638
8.85429,1001,11561.629728
23.314755,1001,11582.450212
17.642541,961,11600.877244
11.415126,1001,11619.851966
13.825726,1001,11638.779596
16.092333,1001,11657.313082
21.17246,1001,11675.819543
8.063954,279,11681.634183
0.085863,1,11682.199002
15.231528,881,11698.688997
11.611923,484,11707.913323
4.401667,169,11711.457042
1.398634,79,11713.410378
7.717447,450,11721.944762
3.041934,229,11726.538185
15.310311,1001,11745.176291
16.774005,1001,11764.911618
1.905772,89,11767.636981
8.582322,526,11777.85613
11.11916,652,11790.418724
1.371359,72,11792.576969
16.940222,580,11803.302799
3.107218,170,11806.736279
15.644399,1001,11824.351033
2.574224,107,11826.68557
4.467144,171,11830.160429
9.269997,1001,11849.229252
21.57147,1001,11867.688962
5.006942,237,11872.397629
14.418695,632,11883.78217
17.896081,1001,11902.289639
15.834176,657,11914.809223
23.150764,825,11929.62242
9.423763,1001,11948.117797
3.039222,143,11951.260175
14.137365,1001,11969.92216
12.831026,549,11979.887156
7.495033,693,11992.829415
7.34568,286,11998.278366
4.201542,250,12003.083647
16.670581,656,12015.308097
11.802451,425,12023.457887
12.418816,1001,12041.374688
23.923577,956,12058.863198
6.521382,403,12066.490991
10.106289,427,12074.425309
11.431559,1001,12092.803017
19.213827,1001,12110.986176
10.399107,1001,12129.256128
7.105342,737,12142.695968
18.714268,856,12158.18933
22.070481,1001,12176.494907
10.153491,358,12183.26401
22.212651,1001,12201.690656
10.717441,1001,12219.829112
12.72792,902,12236.835033
12.092354,1001,12254.853366
16.96538,1001,12272.921157
3.662856,199,12276.899815
16.15117,785,12291.459732
12.841582,1001,12309.610816
10.575043,1001,12328.143533
11.022175,1001,12346.085018
8.544178,801,12361.136057
2.370295,99,12363.383243
5.600369,268,12368.577111
6.945622,430,12376.453028
6.745572,362,12383.649223
11.807392,1001,12401.835029
17.535126,1001,12419.930063
17.432398,1001,12438.026227
14.019718,1001,12456.457514
14.115209,1001,12474.90465
9.435475,300,12480.591893
18.981466,1001,12498.600871
2.532705,141,12501.705834
4.827589,179,12505.60254
7.808033,542,12515.665121
17.45996,1001,12534.499158
16.399405,1001,12552.682295
12.44745,1001,12571.475213
20.732896,1001,12589.425601
10.495855,1001,12608.082268
10.005602,1001,12626.370059
22.330248,796,12640.828658
1.452877,99,12643.157116
10.525589,1001,12661.728184
10.91418,632,12673.360329
17.081536,1001,12692.291553
15.591871,1001,12710.598668
14.613573,908,12726.865379
7.957471,283,12732.416643
15.955848,1001,12750.428411
3.311775,245,12755.703858
2.975464,124,12758.413498
17.367159,1001,12776.610445
11.091803,1001,12794.952333
