#{"t_start": 1641254759.786234, "env_id": null}
r,l,t
7.871623,196,14664.044859
21.858319,435,14682.732743
7.316162,291,14696.363832
-0.118067,1,14696.994862
2.679474,105,14704.151371
3.119314,102,14709.607099
1.045944,94,14713.72418
8.616514,1001,14757.658894
7.794329,210,14766.480457
4.992186,147,14772.986267
5.657356,168,14780.377659
7.105184,180,14789.296087
3.059096,107,14796.247751
2.037563,94,14800.330409
6.477804,171,14808.90704
2.926586,166,14817.443111
5.918175,175,14825.260211
11.888684,1001,14872.552115
17.718565,443,14894.321703
5.441235,146,14900.538723
8.852127,265,14912.904835
12.235297,285,14926.589095
9.500708,261,14937.827711
4.259035,147,14946.839032
-3.0025,1,14947.381758
6.999378,243,14957.959903
7.542127,198,14967.427756
6.351344,180,14976.124963
2.848962,102,14981.078119
8.145768,208,14990.958571
22.029918,469,15009.710253
13.03672,289,15022.717836
0.703097,49,15025.086425
26.293912,527,15050.453165
2.379948,91,15054.337142
7.366491,198,15063.547552
12.112373,312,15076.211843
13.283483,278,15088.521584
2.330341,86,15092.157908
4.694716,138,15098.155134
26.298909,996,15143.17894
3.192035,182,15151.358073
8.115413,274,15163.722634
5.688042,716,15199.607539
11.006621,263,15211.916733
10.444287,490,15234.777116
6.304789,180,15242.283775
8.476537,220,15251.758738
13.052155,295,15264.473209
20.193298,446,15286.55317
10.214041,237,15297.221744
11.508839,254,15309.643551
6.871956,175,15318.73867
8.169828,1001,15361.415502
8.969923,1001,15404.283305
14.859074,404,15422.016757
4.786065,140,15427.970647
3.116859,131,15433.855679
9.287571,214,15443.586525
-0.056992,1,15444.179114
1.912221,80,15448.544386
7.162003,245,15460.010551
3.833711,306,15472.114866
10.726633,1001,15517.11318
0.810447,56,15519.793572
3.255482,106,15524.907616
9.614461,418,15544.674624
8.835979,233,15554.116155
12.147198,272,15565.133312
5.11699,189,15573.620963
2.718758,125,15579.971763
15.170527,361,15597.280385
12.648679,313,15610.138918
12.480125,358,15626.293193
3.859666,146,15632.849167
17.712721,888,15671.571688
3.748487,119,15678.568636
2.20014,96,15683.833683
7.93819,1001,15725.208975
11.696128,282,15738.386403
7.291306,203,15747.944149
4.011689,128,15753.691929
2.711948,104,15758.569069
7.551389,447,15778.816136
8.69074,1001,15821.041799
13.629191,332,15835.850049
4.091615,147,15842.320895
0.831523,50,15845.219878
21.616292,486,15867.683841
3.626398,115,15873.644161
9.17602,218,15882.457669
